,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,delay_interval,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_rental_delay,waiting_time,impacted
221,544980,350135,mobile,ended,-2.0,Early or on time,,,,0.0,0
222,545064,194343,connect,ended,74.0,1 to 2 hours,,,,0.0,0
223,545068,374684,mobile,ended,-31.0,Early or on time,,,,0.0,0
224,545171,292910,mobile,ended,7.0,< 30 minutes,,,,0.0,0
225,545202,367365,connect,canceled,,Unknown,,,,0.0,0
226,545214,363658,mobile,ended,302.0,5 to 24 hours,,,,0.0,0
227,545272,370585,connect,ended,-98.0,Early or on time,,,,0.0,0
228,545319,353251,mobile,ended,93.0,1 to 2 hours,,,,0.0,0
229,545320,224133,mobile,ended,20.0,< 30 minutes,,,,0.0,0
230,545333,217777,connect,canceled,,Unknown,,,,0.0,0
231,545357,408467,mobile,ended,,Unknown,,,,0.0,0
232,545438,393172,connect,ended,-467.0,Early or on time,,,,0.0,0
233,545640,312840,connect,canceled,,Unknown,,,,0.0,0
234,545741,409096,mobile,ended,20.0,< 30 minutes,,,,0.0,0
235,545763,366310,mobile,ended,69.0,1 to 2 hours,,,,0.0,0
236,545782,382901,mobile,ended,-9.0,Early or on time,,,,0.0,0
237,545922,409695,mobile,ended,-80.0,Early or on time,,,,0.0,0
238,545947,396470,mobile,ended,-44.0,Early or on time,,,,0.0,0
239,546024,381038,mobile,ended,163.0,2 to 5 hours,,,,0.0,0
240,546150,242106,mobile,ended,-2.0,Early or on time,,,,0.0,0
241,546160,352528,connect,canceled,,Unknown,546578.0,630.0,,0.0,0
242,546169,409274,mobile,ended,10.0,< 30 minutes,,,,0.0,0
243,546252,408509,mobile,ended,-52.0,Early or on time,,,,0.0,0
244,546365,384056,mobile,canceled,,Unknown,,,,0.0,0
245,546477,383309,mobile,ended,16.0,< 30 minutes,548486.0,660.0,,0.0,0
246,546484,409391,mobile,ended,92.0,1 to 2 hours,,,,0.0,0
247,546491,366448,mobile,canceled,,Unknown,,,,0.0,0
248,546564,392732,mobile,ended,7.0,< 30 minutes,,,,0.0,0
249,546738,288953,mobile,ended,,Unknown,,,,0.0,0
250,546745,342645,connect,ended,-55.0,Early or on time,,,,0.0,0
251,546822,394781,mobile,ended,30.0,< 1 hour,,,,0.0,0
252,546865,399535,mobile,ended,261.0,2 to 5 hours,,,,0.0,0
253,546888,295783,connect,ended,84.0,1 to 2 hours,,,,0.0,0
254,546935,348526,connect,ended,85.0,1 to 2 hours,,,,0.0,0
255,546938,410452,mobile,ended,10.0,< 30 minutes,,,,0.0,0
256,546957,405122,mobile,ended,-113.0,Early or on time,,,,0.0,0
257,546991,377219,connect,ended,423.0,5 to 24 hours,,,,0.0,0
258,547033,276276,mobile,ended,500.0,5 to 24 hours,,,,0.0,0
259,547039,409872,mobile,ended,,Unknown,,,,0.0,0
260,547072,395489,mobile,canceled,,Unknown,,,,0.0,0
261,547122,385574,connect,ended,-5.0,Early or on time,,,,0.0,0
262,547160,409344,mobile,ended,1.0,< 30 minutes,,,,0.0,0
263,547177,214635,connect,ended,-548.0,Early or on time,,,,0.0,0
264,547188,231676,mobile,ended,266.0,2 to 5 hours,535868.0,30.0,,0.0,0
265,547198,381684,mobile,ended,145.0,2 to 5 hours,,,,0.0,0
266,547223,188944,connect,ended,8.0,< 30 minutes,,,,0.0,0
267,547236,392147,mobile,ended,-8.0,Early or on time,,,,0.0,0
268,547348,374614,mobile,ended,74.0,1 to 2 hours,,,,0.0,0
269,547557,408406,mobile,ended,126.0,2 to 5 hours,,,,0.0,0
270,548028,409718,mobile,ended,15.0,< 30 minutes,,,,0.0,0
271,548177,411835,mobile,canceled,,Unknown,,,,0.0,0
272,548215,367346,mobile,ended,-8.0,Early or on time,,,,0.0,0
273,548279,317330,connect,ended,-692.0,Early or on time,,,,0.0,0
274,548352,409458,mobile,ended,195.0,2 to 5 hours,,,,0.0,0
275,548355,375311,mobile,canceled,,Unknown,,,,0.0,0
276,548453,374241,mobile,canceled,,Unknown,,,,0.0,0
277,548598,288973,mobile,ended,-133.0,Early or on time,,,,0.0,0
278,548603,363820,mobile,ended,-22.0,Early or on time,,,,0.0,0
279,548646,282893,mobile,ended,201.0,2 to 5 hours,,,,0.0,0
280,548702,406104,mobile,ended,21.0,< 30 minutes,,,,0.0,0
